#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome	NZ_CP028172.1	4636300	264	+			C6649_RS00005	WP_000683247.1	244	MULTISPECIES: aspartate/glutamate racemase family protein
chromosome	NZ_CP028172.1	270	1178	-		hypT	C6649_RS00010	WP_000383509.1	302	MULTISPECIES: hypochlorite stress DNA-binding transcriptional regulator HypT
chromosome	NZ_CP028172.1	1297	2469	-			C6649_RS00015	WP_001821328.1	390	MULTISPECIES: beta-aspartyl-peptidase
chromosome	NZ_CP028172.1	2482	2943	-			C6649_RS00020	WP_000211979.1	153	MULTISPECIES: YjiG family protein
chromosome	NZ_CP028172.1	2940	3611	-			C6649_RS00025	WP_000068752.1	223	MULTISPECIES: YjiH family protein
chromosome	NZ_CP028172.1	4483	5667	-			C6649_RS00030	WP_000233266.1	394	MULTISPECIES: MFS transporter
chromosome	NZ_CP028172.1	5887	7158	-			C6649_RS00035	WP_001033028.1	423	MULTISPECIES: DUF445 domain-containing protein
chromosome	NZ_CP028172.1	7245	8486	-		mdtM	C6649_RS00040	WP_021001104.1	413	MULTISPECIES: multidrug efflux MFS transporter MdtM
chromosome	NZ_CP028172.1	8965	9918	+			C6649_RS00045	WP_021001106.1	317	Rpn family recombination-promoting nuclease/putative transposase
chromosome	NZ_CP028172.1	10099	11469	+			C6649_RS00050	WP_001748826.1	456	NAD-dependent succinate-semialdehyde dehydrogenase
chromosome	NZ_CP028172.1	11565	11708	-			C6649_RS00055	WP_001541460.1	47	MULTISPECIES: hypothetical protein
chromosome	NZ_CP028172.1	11675	11839	+			C6649_RS00060	WP_000397915.1	54	MULTISPECIES: DUF1127 domain-containing protein
chromosome	NZ_CP028172.1	11916	12836	-			C6649_RS00065	WP_001280247.1	306	MULTISPECIES: endonuclease NucS
chromosome	NZ_CP028172.1	12972	14825	+			C6649_RS00070	WP_021001107.1	617	DUF262 domain-containing protein
chromosome	NZ_CP028172.1	14870	15190	-		symE	C6649_RS00075	WP_000210979.1	106	MULTISPECIES: endoribonuclease SymE
chromosome	NZ_CP028172.1	15407	17107	-			C6649_RS00080	WP_021001108.1	566	MULTISPECIES: restriction endonuclease subunit S
chromosome	NZ_CP028172.1	17107	18576	-			C6649_RS00085	WP_021001109.1	489	MULTISPECIES: type I restriction-modification system subunit M
chromosome	NZ_CP028172.1	18647	21076	-			C6649_RS00090	WP_000774451.1	809	MULTISPECIES: DEAD/DEAH box helicase family protein
chromosome	NZ_CP028172.1	21218	22186	+			C6649_RS00095	WP_000452023.1	322	MULTISPECIES: hypothetical protein
chromosome	NZ_CP028172.1	22302	23258	-		yjiA	C6649_RS00100	WP_000187838.1	318	MULTISPECIES: GTPase
chromosome	NZ_CP028172.1	23269	23472	-			C6649_RS00105	WP_000460616.1	67	MULTISPECIES: YbdD/YjiX family protein
chromosome	NZ_CP028172.1	23567	25717	-		btsT	C6649_RS00110	WP_000379928.1	716	MULTISPECIES: pyruvate/proton symporter BtsT
chromosome	NZ_CP028172.1	26084	27745	+		tsr	C6649_RS00115	WP_000919519.1	553	MULTISPECIES: methyl-accepting chemotaxis protein
chromosome	NZ_CP028172.1	28068	30833	+			C6649_RS00120	WP_001224212.1	921	MULTISPECIES: sigma-54-dependent transcriptional regulator
chromosome	NZ_CP028172.1	30935	31357	+			C6649_RS00125	WP_000820693.1	140	MULTISPECIES: PTS sugar transporter subunit IIA
chromosome	NZ_CP028172.1	31372	31833	+			C6649_RS00130	WP_000634729.1	153	MULTISPECIES: PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB
chromosome	NZ_CP028172.1	31859	32638	+			C6649_RS00135	WP_000228866.1	259	MULTISPECIES: PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC
chromosome	NZ_CP028172.1	32616	33464	+			C6649_RS00140	WP_000178067.1	282	MULTISPECIES: PTS system mannose/fructose/sorbose family transporter subunit IID
chromosome	NZ_CP028172.1	33477	34538	+			C6649_RS00145	WP_021001111.1	353	SIS domain-containing protein
chromosome	NZ_CP028172.1	34556	35566	+			C6649_RS00150	WP_000900307.1	336	MULTISPECIES: SIS domain-containing protein
chromosome	NZ_CP028172.1	35700	37991	-		opgB	C6649_RS00155	WP_024798853.1	763	phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase
chromosome	NZ_CP028172.1	38274	38735	-			C6649_RS00160	WP_021001113.1	153	DUF2501 domain-containing protein
chromosome	NZ_CP028172.1	38793	39530	-		dnaC	C6649_RS00165	WP_000799924.1	245	MULTISPECIES: DNA replication protein DnaC
chromosome	NZ_CP028172.1	39533	40072	-		dnaT	C6649_RS00170	WP_000098578.1	179	MULTISPECIES: primosomal protein DnaT
chromosome	NZ_CP028172.1	40165	40638	-			C6649_RS00175	WP_021001114.1	157	MULTISPECIES: threonine/serine exporter
chromosome	NZ_CP028172.1	40629	41405	-			C6649_RS00180	WP_001747536.1	258	MULTISPECIES: threonine/serine exporter ThrE family protein
chromosome	NZ_CP028172.1	42118	42843	+			C6649_RS00185	WP_000936657.1	241	MULTISPECIES: response regulator transcription factor
chromosome	NZ_CP028172.1	42804	43478	+		bglJ	C6649_RS00190	WP_000431553.1	224	MULTISPECIES: DNA-binding transcriptional activator BglJ
chromosome	NZ_CP028172.1	43529	43987	-			C6649_RS00195	WP_000058276.1	152	MULTISPECIES: YbaK/EbsC family protein
chromosome	NZ_CP028172.1	44138	44926	-		fhuF	C6649_RS00200	WP_021001116.1	262	siderophore-iron reductase FhuF
chromosome	NZ_CP028172.1	45047	46111	-			C6649_RS00205	WP_000211207.1	354	MULTISPECIES: GGDEF domain-containing protein
chromosome	NZ_CP028172.1	46362	46598	+			C6649_RS00210	WP_021001117.1	78	DUF1435 domain-containing protein
chromosome	NZ_CP028172.1	47138	48166	-		rsmC	C6649_RS00230	WP_001272267.1	342	16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC
chromosome	NZ_CP028172.1	48269	48706	+			C6649_RS00235	WP_000203998.1	145	MULTISPECIES: DNA polymerase III subunit psi
chromosome	NZ_CP028172.1	48651	49097	+		rimI	C6649_RS00240	WP_001092435.1	148	MULTISPECIES: ribosomal protein S18-alanine N-acetyltransferase
chromosome	NZ_CP028172.1	49119	49796	+		yjjG	C6649_RS00245	WP_000870686.1	225	MULTISPECIES: pyrimidine 5\\'-nucleotidase
chromosome	NZ_CP028172.1	49888	51477	+		prfC	C6649_RS00250	WP_000175965.1	529	MULTISPECIES: peptide chain release factor 3
chromosome	NZ_CP028172.1	51879	52496	+		osmY	C6649_RS00255	WP_000178963.1	205	MULTISPECIES: molecular chaperone OsmY
chromosome	NZ_CP028172.1	52625	52786	+			C6649_RS00260	WP_000490276.1	53	MULTISPECIES: DUF1328 domain-containing protein
chromosome	NZ_CP028172.1	52910	53983	+			C6649_RS00265	WP_000531546.1	357	MULTISPECIES: patatin family protein
chromosome	NZ_CP028172.1	53980	54753	+			C6649_RS00270	WP_000119005.1	257	MULTISPECIES: metal-dependent hydrolase
chromosome	NZ_CP028172.1	54786	55649	-			C6649_RS00275	WP_001064937.1	287	YjjW family glycine radical enzyme activase
chromosome	NZ_CP028172.1	55621	57171	-			C6649_RS00280	WP_001111671.1	516	MULTISPECIES: YjjI family glycine radical enzyme
chromosome	NZ_CP028172.1	57431	58210	+		deoC	C6649_RS00285	WP_001519713.1	259	MULTISPECIES: deoxyribose-phosphate aldolase
chromosome	NZ_CP028172.1	58334	59656	+		deoA	C6649_RS00290	WP_000477838.1	440	MULTISPECIES: thymidine phosphorylase
chromosome	NZ_CP028172.1	59708	60931	+		deoB	C6649_RS00295	WP_000816454.1	407	MULTISPECIES: phosphopentomutase
chromosome	NZ_CP028172.1	61141	61860	+		deoD	C6649_RS00300	WP_000224870.1	239	MULTISPECIES: purine-nucleoside phosphorylase
chromosome	NZ_CP028172.1	61898	62470	-			C6649_RS00305	WP_000841604.1	190	MULTISPECIES: outer membrane protein
chromosome	NZ_CP028172.1	62467	64875	-			C6649_RS00310	WP_024798854.1	802	MULTISPECIES: fimbrial biogenesis outer membrane usher protein
